"Source:","C:\Users\arthu\Documents\KiCad\OPA_PHONO\OPA_PHONO.kicad_sch"
"Date:","1/11/2022 10:57:01 AM"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","60"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","MPN","Manufacturer"
"","","C2","68n","Device:C","Capacitor_SMD:C_1210_3225Metric","~","CAP FILM 0.068UF 2% 16VDC 1210","ECH-U1C683GX5","Panasonic Electronic Components"
"","","C3","68n","Device:C","Capacitor_SMD:C_1210_3225Metric","~","CAP FILM 0.068UF 2% 16VDC 1210","ECH-U1C683GX5","Panasonic Electronic Components"
"","","C4","47n","Device:C","Capacitor_SMD:C_1206_3216Metric","~","CAP FILM 0.047UF 2% 16VDC 1206","ECH-U1C473GX5","Panasonic Electronic Components"
"","","C5","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~","CAP CER 1UF 25V X5R 0402","GRM155R61E105KA12D","Murata Electronics"
"","","C6","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~","CAP CER 1UF 25V X5R 0402","GRM155R61E105KA12D","Murata Electronics"
"","","C8","68n","Device:C","Capacitor_SMD:C_1210_3225Metric","~","CAP FILM 0.068UF 2% 16VDC 1210","ECH-U1C683GX5","Panasonic Electronic Components"
"","","C9","68n","Device:C","Capacitor_SMD:C_1210_3225Metric","~","CAP FILM 0.068UF 2% 16VDC 1210","ECH-U1C683GX5","Panasonic Electronic Components"
"","","C10","47n","Device:C","Capacitor_SMD:C_1206_3216Metric","~","CAP FILM 0.047UF 2% 16VDC 1206","ECH-U1C473GX5","Panasonic Electronic Components"
"","","C11","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~","CAP CER 1UF 25V X5R 0402","GRM155R61E105KA12D","Murata Electronics"
"","","C12","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~","CAP CER 1UF 25V X5R 0402","GRM155R61E105KA12D","Murata Electronics"
"","","C13","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~","CAP CER 1UF 25V X5R 0402","GRM155R61E105KA12D","Murata Electronics"
"","","C14","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~","CAP CER 1UF 25V X5R 0402","GRM155R61E105KA12D","Murata Electronics"
"","","C16","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~","CAP CER 1UF 25V X5R 0402","GRM155R61E105KA12D","Murata Electronics"
"","","C17","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~","CAP CER 1UF 25V X5R 0402","GRM155R61E105KA12D","Murata Electronics"
"","","C18","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~","CAP CER 1UF 25V X5R 0402","GRM155R61E105KA12D","Murata Electronics"
"","","C19","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~","CAP CER 1UF 25V X5R 0402","GRM155R61E105KA12D","Murata Electronics"
"","","C20","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~","CAP CER 1UF 25V X5R 0402","GRM155R61E105KA12D","Murata Electronics"
"","","C21","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~","CAP CER 1UF 25V X5R 0402","GRM155R61E105KA12D","Murata Electronics"
"","","C22","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~","CAP CER 1UF 25V X5R 0402","GRM155R61E105KA12D","Murata Electronics"
